bill no. ,status,url
HB 72,Enro,https://capitol.texas.gov//tlodocs/87R/billtext/pdf/HB00072F.pdf#navpanes=0
HB 1758,Enro,https://capitol.texas.gov//tlodocs/87R/billtext/pdf/HB01758F.pdf#navpanes=0
HB 1571,Enro,https://capitol.texas.gov//tlodocs/87R/billtext/pdf/HB01571F.pdf#navpanes=0
HB 2127,Enro,https://capitol.texas.gov//tlodocs/87R/billtext/pdf/HB02127F.pdf#navpanes=0
HB 2205,Enro,https://capitol.texas.gov//tlodocs/87R/billtext/pdf/HB02205F.pdf#navpanes=0
HB 1729,Enro,https://capitol.texas.gov//tlodocs/87R/billtext/pdf/HB01729F.pdf#navpanes=0
HB 1526,Enro,https://capitol.texas.gov//tlodocs/87R/billtext/pdf/HB01526F.pdf#navpanes=0
HB 1472,Enro,https://capitol.texas.gov//tlodocs/87R/billtext/pdf/HB01472F.pdf#navpanes=0
HB 1564,Enro,https://capitol.texas.gov//tlodocs/87R/billtext/pdf/HB01564F.pdf#navpanes=0
HB 1410,Enro,https://capitol.texas.gov//tlodocs/87R/billtext/pdf/HB01410F.pdf#navpanes=0
HB 1802,Enro,https://capitol.texas.gov//tlodocs/87R/billtext/pdf/HB01802F.pdf#navpanes=0
HB 2352,Enro,https://capitol.texas.gov//tlodocs/87R/billtext/pdf/HB02352F.pdf#navpanes=0
HB 1919,Enro,https://capitol.texas.gov//tlodocs/87R/billtext/pdf/HB01919F.pdf#navpanes=0
HB 2416,Enro,https://capitol.texas.gov//tlodocs/87R/billtext/pdf/HB02416F.pdf#navpanes=0
SB 2219,Enro,https://capitol.texas.gov//tlodocs/87R/billtext/pdf/SB02219F.pdf#navpanes=0
HB 2235,Enro,https://capitol.texas.gov//tlodocs/87R/billtext/pdf/HB02235F.pdf#navpanes=0
SB 2216,Enro,https://capitol.texas.gov//tlodocs/87R/billtext/pdf/SB02216F.pdf#navpanes=0
HB 1698,Enro,https://capitol.texas.gov//tlodocs/87R/billtext/pdf/HB01698F.pdf#navpanes=0
SB 2217,Enro,https://capitol.texas.gov//tlodocs/87R/billtext/pdf/SB02217F.pdf#navpanes=0
SB 2207,Enro,https://capitol.texas.gov//tlodocs/87R/billtext/pdf/SB02207F.pdf#navpanes=0
SB 2183,Enro,https://capitol.texas.gov//tlodocs/87R/billtext/pdf/SB02183F.pdf#navpanes=0
SB 2185,Enro,https://capitol.texas.gov//tlodocs/87R/billtext/pdf/SB02185F.pdf#navpanes=0
SB 2173,Enro,https://capitol.texas.gov//tlodocs/87R/billtext/pdf/SB02173F.pdf#navpanes=0
